,raceId,year,round,weather
60,61,2006,9,Sunny and warm with temperatures reaching up to 28 °C (82 °F); wind speeds up to 4.1 kilometres per hour (2.5 mph)[1]
61,62,2006,10,"Sunny, hot"
62,63,2006,11,"Sunny, warm"
63,64,2006,12,"Sunny, warm"
64,65,2006,13,Cool and rainy with temperatures reaching up to 20 °C (68 °F)[4]
65,66,2006,14,"Sunny, hot"
66,67,2006,15,Warm and sunny with temperatures reaching up to 27 °C (81 °F)[1]
67,68,2006,16,"Cloudy, wet track that progressively dried up.Rainy during the last few laps."
68,69,2006,17,Fine
69,70,2006,18,Temperatures reaching up to 23 °C (73 °F)[1]
70,71,2005,1,"Cool, partly cloudy"
71,72,2005,2,"Fine, Air: 34–36°C (93–97°F) and Track: 44–50°C (111–122°F)"
72,73,2005,3,"Sunny, 42 °C (108 °F)[1]"
73,74,2005,4,Warm and cloudy
74,75,2005,5,"Sunny, warm"
75,76,2005,6,Fine
76,77,2005,7,"Partly cloudy, hot and dry"
77,78,2005,8,Cloudy and hot with temperatures approaching 32.5 °C (90.5 °F)Wind speeds up to 5.1 km/h (3.2 mph)[1]Track 43–47 °C (109–117 °F)
78,79,2005,9,"Cloudy, temperatures up to 25.0 °C (77.0 °F); wind speeds up to 17.9 km/h (11.1 mph)[4]"
79,80,2005,10,"Sunny, Air: 32 °C (90 °F), Track 53 °C (127 °F)"
80,81,2005,11,"Sunny, Air: 27 °C (81 °F), Track 47 °C (117 °F)"
81,82,2005,12,"Cloudy with drizzle, but staying dry during the race. Air temp: 24°C."
82,83,2005,13,"Sunny, Air: 34 °C (93 °F), Track 45 °C (113 °F)"
83,84,2005,14,Sunny; 30°C Air; 45°C Track
84,85,2005,15,Sunny
85,86,2005,16,Wet and dry
86,87,2005,17,"Cloudy, dry, Air: 23 °C (73 °F), Track 22 °C (72 °F)"
87,88,2005,18,Partially cloudy and dry with temperatures reaching up to 25 °C (77 °F)[2]
88,89,2005,19,Sunny
89,90,2004,1,Dry and cloudyAir temperature 20 °C (68 °F)
90,91,2004,2,"Dry, light rain at the startAir Temp 34 °C (93 °F)"
91,92,2004,3,"Warm, dry and overcast"
92,93,2004,4,"Clear, air temp: 22°C"
93,94,2004,5,Clear
94,95,2004,6,Dry and sunny
95,96,2004,7,"Cloudy at start, sunny later"
96,97,2004,8,Clear and mild with temperatures approaching 25.0 °C (77.0 °F)Wind speeds up to 5.8 km/h (3.6 mph)[1]Track 35 °C (95 °F)[2]
97,98,2004,9,Fine with temperatures reaching up to 24 °C (75 °F);Wind speeds up to 20.55 km/h (12.77 mph)[2]
98,99,2004,10,Sunny
99,100,2004,11,"Cloudy, Air: 17 °C (63 °F), Track 27 °C (81 °F)[2]"
100,101,2004,12,Sunny
101,102,2004,13,"Warm, dry and sunny, Air: 26 °C (79 °F), Track 42 °C (108 °F)"
102,103,2004,14,Dry with temperatures reaching up to 15 °C (59 °F)[1]
103,104,2004,15,"Wet track at the start, dry later on"
104,105,2004,16,Sunny with temperatures reaching up to 27 °C (81 °F)[1]
105,106,2004,17,Sunny
106,107,2004,18,Dry/Wet
107,108,2003,1,"Damp at beginning, dry later, cloudy, mild"
108,109,2003,2,"Fine, air temperature 34°C (93°F)"
109,110,2003,3,Rainy: 20 °C (68 °F)
110,111,2003,4,Mostly cloudy with maximum ambient temperatures reaching 13 degrees during the day.
111,112,2003,5,Clear
112,113,2003,6,Mostly cloudy with isolated showers in the area
113,114,2003,7,"Sunny at start, cloudy later"
114,115,2003,8,Partly cloudy and mild with temperatures reaching a maximum of 19.3 °C (66.7 °F)Wind speeds up to 12.9 km/h (8.0 mph)[1]Track 32 °C (90 °F)[2]
115,116,2003,9,Mostly cloudy with maximum ambient temperatures reaching 25 degrees celsius during the day.
116,117,2003,10,"Cloudy, Air: 26 °C (79 °F), Track 35 °C (95 °F)"
117,118,2003,11,"Sunny at start, cloudy later, Air: 24 °C (75 °F), Track 29 °C (84 °F)[1]"
118,119,2003,12,Fine
119,120,2003,13,"Warm, dry and sunny, 28 °C (82 °F)"
120,121,2003,14,Sunny
121,122,2003,15,Scattered showers with temperatures up to 20.6 °C (69.1 °F);Wind speeds up to 25.93 km/h (16.11 mph)[2]
122,123,2003,16,"Cloudy, Air: 22 °C (72 °F), Track 25 °C (77 °F)"
123,124,2002,1,"Cloudy at start, clearing to sunny skies."
124,125,2002,2,"Partially cloudy, hot, and dry"
125,126,2002,3,"Clear, Air Temp: 30°C"
126,127,2002,4,"Scattered thunderstorms, but remaining dry. Air Temp: 18°C"
127,128,2002,5,"Clear, Air Temp: 20°C"
128,129,2002,6,"Clear, Air Temp: 20°C"
129,130,2002,7,Fine; air temperature 22 °C (72 °F)
130,131,2002,8,Mostly fine and humid with temperatures reaching a maximum of 24.1 °C (75.4 °F)Wind speeds up to 8 km/h (5.0 mph)[1]
131,132,2002,9,"Mainly Fine, Air Temp: 18°C"
132,133,2002,10,"Dry/Wet, Air Temp: 21°C"
133,134,2002,11,"Warm and sunny, Air Temp: 25°C"
134,135,2002,12,"Fine, Air Temp: 28°C"
135,136,2002,13,"Partially cloudy, hot and sunny, Air Temp: 28 °C (82 °F)[4]"
136,137,2002,14,"Cloudy, Air: 17 °C (63 °F), Track 25 °C (77 °F)[1]"
137,138,2002,15,"Sunny, hot, dry 23°C"
138,139,2002,16,Sunny with temperatures reaching up to 26.7 °C (80.1 °F);Wind speeds approaching a maximum of 18.70 km/h (11.62 mph)[2]Track 34 °C (93 °F)
139,140,2002,17,"Sunny, Air: 26 °C (79 °F), Track 30 °C (86 °F)"
140,141,2001,1,"Cloudy, sunny later"
141,142,2001,2,"Rain and Thunderstorms at start, dry later; Air Temp at start: 32 °C (90 °F)"
142,143,2001,3,"Dry first, rain and thunderstorms later; Air temp: 25–30 °C (77–86 °F)[1] Track 27–40 °C (81–104 °F)"
143,144,2001,4,"Sunny. Air Temp: 14 °C (57 °F), Track 26 °C (79 °F)"
144,145,2001,5,"Overcast, Mild, Dry, Air Temp: 18°C"
145,146,2001,6,"Sunny, Air: 18 to 19 °C (64 to 66 °F), Track 18 to 32 °C (64 to 90 °F)"
146,147,2001,7,"Warm and Sunny, Air Temp: 23 °C (73 °F), Track 36 to 39 °C (97 to 102 °F)"
147,148,2001,8,Sunny
148,149,2001,9,"Sunny, mild, dry, Air Temp: 21°C"
149,150,2001,10,Sunny
150,151,2001,11,"Partially cloudy, mild, dry, Air Temp: 16 °C (61 °F), Track 27 °C (81 °F)"
151,152,2001,12,"Partially cloudy, very hot, dry"
152,153,2001,13,"Hot, dry and partially cloudy"
153,154,2001,14,"Overcast, mild, dry, Air Temp: 12 to 16 °C (54 to 61 °F)"
154,155,2001,15,"Sunny, partly cloudy, Air: 19 to 20 °C (66 to 68 °F), Track 26 °C (79 °F)"
155,156,2001,16,"Sunny, cool, Air: 19–21 °C (66–70 °F);Track 27 °C (81 °F)"
156,157,2001,17,"Cloudy, mild, dry, air temp: 24°C"
157,158,2000,1,"Sunny,[2] Air Temp: 20 °C"
158,159,2000,2,"Sunny with some clouds, Air: 22 °C (72 °F), Track: 35 °C (95 °F)"
159,160,2000,3,"Overcast, mild, dry; 16 °C (61 °F)"
160,161,2000,4,"Sunny, mild, dry, Air Temp: 10 °C (50 °F)"
161,162,2000,5,"Sunny, Mild, Dry"
162,163,2000,6,"Dry at first, rain later on, Air: 11 °C (52 °F), Track: 12 °C (54 °F)"
163,164,2000,7,Sunny
164,165,2000,8,"Cloudy and raining; Air 17 °C (63 °F),Track 21 °C (70 °F)"
165,166,2000,9,"Sunny, dry, Air Temp: 27°C"
166,167,2000,10,"Partially cloudy, dry"
167,168,2000,11,Dry/Wet
168,169,2000,12,"Partially cloudy, very hot, dry"
169,170,2000,13,"Wet at start, drying, Air & track temperature; 15 °C (59 °F)"
170,171,2000,14,Sunny with temperatures reaching up to 29 °C (84 °F)[4]
171,172,2000,15,"Cloudy, drying, Air 12 °C (54 °F);Track 14 °C (57 °F)"
172,173,2000,16,Dry/wet
173,174,2000,17,"Overcast, Very hot, Dry"
174,175,1999,1,Sunny and dry with temperatures reaching up to 19 °C (66 °F)[1]
175,176,1999,2,"Sunny, hot, dry 25 °C (77 °F)[1]"
176,177,1999,3,"Sunny, mild, dry, 23 °C"
177,178,1999,4,"Sunny, hot, dry"
178,179,1999,5,"Cloudy, hot, dry 22 °C (72 °F)[2]"
179,180,1999,6,Hot with temperatures approaching 31.0 °C (87.8 °F)Wind speeds up to 5.1 km/h (3.2 mph)[1]Track 41–43 °C (106–109 °F)
180,181,1999,7,"Overcast, mild, dry at first, rain later on"
181,182,1999,8,"Sunny, mild, dry"
182,183,1999,9,"Overcast, mild, dry"
183,184,1999,10,"Partially cloudy, very hot, dry"
184,185,1999,11,"Partially cloudy, hot, dry, Air: 25 °C (77 °F), Track 37 °C (99 °F)"
185,186,1999,12,"Partially cloudy, mild, dry"
186,187,1999,13,Hot and dry with temperatures reaching up to 30 °C (86 °F)[1]
187,188,1999,14,Wet/Dry
188,189,1999,15,"Cloudy, hot, dry"
189,190,1999,16,"Overcast, mild, dry"
190,191,1998,1,"Clear with maximum temperatures reaching 24 degrees at the start, increasing to 30 degrees by the end of the race."
191,192,1998,2,"Mostly cloudy, 31 °C (88 °F)"
192,193,1998,3,Cloudy with variable levels of dryness; temperatures reaching up to 19 °C (66 °F)[2]
193,194,1998,4,"Sunny, 25 °C"
194,195,1998,5,Sunny and warm
195,196,1998,6,Hot and sunny with temperatures reaching up to 22 °C (72 °F)[1]
196,197,1998,7,Cool and overcast with air temperatures reaching up to 16.0 °C (60.8 °F)Wind speeds up to 2.9 km/h (1.8 mph) reported[1]
197,198,1998,8,"Sunny, warm"
198,199,1998,9,"Rain, Wet Track"
199,200,1998,10,Sunny
200,201,1998,11,Cloudy but dry
201,202,1998,12,"Cloudy, hot, dry; 30 °C (86 °F)"
202,203,1998,13,Cold and wet with rain becoming heavier
203,204,1998,14,Sunny
204,205,1998,15,"Cloudy, cold, dry"
205,206,1998,16,Fine
206,207,1997,1,"Partly Cloudy, Dry"
207,208,1997,2,Overcast and dry with temperatures reaching up to 23 °C (73 °F)[1]
208,209,1997,3,"Partially cloudy and dry, with temperatures reaching up to 21 °C (70 °F)[1]"
209,210,1997,4,"Cloudy, Dry, 17 °C"
210,211,1997,5,"Overcast, cold and rain, air temperature 11 °C (52 °F)"
211,212,1997,6,Clear
212,213,1997,7,Clear and mild with temperatures approaching 22.7 °C (72.9 °F)Wind speeds up to 4.1 km/h (2.5 mph)[1]
213,214,1997,8,"Dry at first, rain in closing stages"
214,215,1997,9,"Sunny, Dry Track"
215,216,1997,10,"Sunny, dry track"
216,217,1997,11,"Sunny, Dry Track, 27°C"
217,218,1997,12,"Wet, then drying out with temperatures reaching up to 28 °C (82 °F)[2]"
218,219,1997,13,Dry with temperatures reaching up to 29 °C (84 °F)[1]
219,220,1997,14,Sunny
220,221,1997,15,"Partially cloudy, mild and dry"
221,222,1997,16,Sunny[3]
222,223,1997,17,Sunny with temperatures reaching up to 25 °C (77 °F)[3]
223,224,1996,1,Dry with temperatures reaching up to 23 °C (73 °F)[1]
224,225,1996,2,"Thunderstorm, then drying with temperatures reaching up to 24 °C (75 °F)[1]"
225,226,1996,3,Dry with temperatures reaching up to 21 °C (70 °F)[1]
226,227,1996,4,"Cloudy, but dry"
227,228,1996,5,Sunny
228,229,1996,6,"Overcast, mild, wet at first, drying later, light rain at finish"
229,230,1996,7,Rain
230,231,1996,8,Mostly sunny and warm with temperatures approaching 26 °C (79 °F)[1]
231,232,1996,9,Dry
232,233,1996,10,Warm and sunny with temperatures reaching up to 25 °C (77 °F)[1]
233,234,1996,11,"Sunny, dry"
234,235,1996,12,Sunny with temperatures reaching up to 27 °C (81 °F)[2]
235,236,1996,13,Overcast and dry with temperatures reaching up to 17 °C (63 °F)[2]
236,237,1996,14,Dry
237,238,1996,15,Mostly sunny with ambient temperatures reaching 25 °C during the day.
238,239,1996,16,"Sunny, mild and dry"
239,240,1995,1,Overcast
240,241,1995,2,Cloudy
241,242,1995,3,"Heavy rain before the start, before brightening up"
242,243,1995,4,Sunny
243,244,1995,5,"Warm, sunny"
244,245,1995,6,"Cloudy at start, sunny later with temperatures reaching up to 24.3 °C (75.7 °F)Wind speeds up to 8 km/h (5.0 mph)[1]"
245,246,1995,7,"Cloudy, light drizzle at times"
246,247,1995,8,"Warm, cloudy, windy"
247,248,1995,9,"Sunny, 28 °C (82 °F)"
248,249,1995,10,Sunny
249,250,1995,11,"Cloudy, then heavy rain"
250,251,1995,12,Sunny
251,252,1995,13,Sunny
252,253,1995,14,"Rain, later dried out, air temperature 11 °C (52 °F)"
253,254,1995,15,"Cloudy, dry"
254,255,1995,16,"Rain, later dried out"
255,256,1995,17,Sunny[2]
256,257,1994,1,Sunny
257,258,1994,2,Sunny
258,259,1994,3,Sunny
259,260,1994,4,Sunny
260,261,1994,5,Sunny
261,262,1994,6,Temperatures approaching 26.3 °C (79.3 °F);Wind speeds up to 21 km/h (13 mph)[1]
262,263,1994,7,Sunny
263,264,1994,8,Sunny
264,265,1994,9,Sunny
265,266,1994,10,Sunny
266,267,1994,11,Sunny
267,268,1994,12,Sunny
268,269,1994,13,Sunny
269,270,1994,14,Sunny
270,271,1994,15,"Heavy rain, followed by light showers"
271,272,1994,16,Sunny with clouds
272,273,1993,1,"Very hot and humid, with torrential thunderstorms. Air temp: 33 °C (91 °F)"
273,274,1993,2,Dry first then torrential rain for a short period; later drying and staying dry for the rest of the race
274,275,1993,3,"Very cold, rain with dry spells"
275,276,1993,4,"Wet at start, dry later"
276,277,1993,5,Sunny
277,278,1993,6,"Partly cloudy, mild, dry"
278,279,1993,7,Temperatures reaching up to 29.0 °C (84.2 °F);Wind speeds up to 18.3 km/h (11.4 mph)[1]
279,280,1993,8,not found
280,281,1993,9,Dry
281,282,1993,10,Dry
282,283,1993,11,not found
283,284,1993,12,Sunny and clear
284,285,1993,13,Hot and sunny
285,286,1993,14,"Dry, sunny, windy"
286,287,1993,15,"Dry/wet, warm, cloudy"
287,288,1993,16,Sunny
288,289,1992,1,"Hot, dry and dull"
289,290,1992,2,Scattered clouds27 °C (81 °F)[1]
290,291,1992,3,Dry
291,292,1992,4,"Dry at start, wet later"
292,293,1992,5,Sunny
293,294,1992,6,Dry
294,295,1992,7,Dry with temperatures reaching up to 25 °C (77 °F);Wind speeds up to 14 km/h (8.7 mph)[1]
295,296,1992,8,"Dry, then raining"
296,297,1992,9,Dry
297,298,1992,10,Dry
298,299,1992,11,Dry
299,300,1992,12,"Overcast, brief rain mid-race"
300,301,1992,13,Sunny and warm
301,302,1992,14,"Dry, sunny, windy"
302,303,1992,15,"Dry, warm, cloudy"
303,304,1992,16,Cloudy
304,305,1991,1,Overcast25 °C (77 °F)[1]
305,306,1991,2,"Cloudy at start, rainy later. Ambient temperature: 29.4°C (85°F).Humidity: 95%.Wind speed: 33.7 km/h (21 mph)."
306,307,1991,3,"Wet at start, dry by finish"
307,308,1991,4,"Cloudy, mild, dry"
308,309,1991,5,Mild with temperatures approaching 25 °C (77 °F);Wind speeds up to 12 km/h (7.5 mph)[1]
309,310,1991,6,Mostly Cloudy24 °C (75 °F)[1]
310,311,1991,7,not found
311,312,1991,8,"Hot, dry, sunny"
312,313,1991,9,Hot and sunny
313,314,1991,10,"Hot dry, sunny"
314,315,1991,11,not found
315,316,1991,12,Sunny and warm
316,317,1991,13,Sunny and warm
317,318,1991,14,"Warm and overcast, drying"
318,319,1991,15,"Sunny, warm"
319,320,1991,16,Torrential rain
320,321,1990,1,Cloudy and cool with temperatures reaching up to 18 °C (64 °F)[1]
321,322,1990,2,"Hot, dry, sunny"
322,323,1990,3,"Warm, dry, sunny"
323,324,1990,4,"Warm, dry, sunny"
324,325,1990,5,Warm and cloudy with temperatures approaching 19.8 °C (67.6 °F); wind speeds up to 27.8 kilometres per hour (17.3 mph)[1]
325,326,1990,6,Overcast21 °C (70 °F)[1]
326,327,1990,7,"Hot, dry, sunny"
327,328,1990,8,"Hot, dry, sunny"
328,329,1990,9,"Hot, dry, sunny"
329,330,1990,10,Dry
330,331,1990,11,Dry
331,332,1990,12,"Hot, dry, sunny"
332,333,1990,13,not found
333,334,1990,14,"Dry, hot, sunny"
334,335,1990,15,Sunny
335,336,1990,16,Sunny
336,337,2010,1,Sunny
337,338,2010,2,Overcast with light rain at start
338,339,2010,3,"Mainly cloudy, dry"
339,340,2010,4,"Cloudy, rain"
340,341,2010,5,"Mainly cloudy, dry"
341,342,2010,6,"Mainly cloudy, dry"
342,343,2010,7,Air: 28 to 29 °C (82 to 84 °F) Track: 39 to 49 °C (102 to 120 °F)
343,344,2010,8,Warm with temperatures approaching 26 °C (79 °F); wind speeds up to 4.9 kilometres per hour (3.0 mph)[1]
344,345,2010,9,Dry[3]
345,346,2010,10,Mainly sunny
346,347,2010,11,"Mainly cloudy, dry[4]"
347,348,2010,12,Mainly sunny28 °C (82 °F)[1]
348,349,2010,13,Intermittent rain
349,350,2010,14,Sunny
350,351,2010,15,"Clear; Air temp 29 to 30 °C (84 to 86 °F), Track temp 31 °C (88 °F)[5][6]"
351,352,2010,16,Sunny
352,353,2010,17,"Rain. Air 20 °C (68 °F), Track 18 °C (64 °F)"
353,354,2010,18,Clear; 25 °C (77 °F)
354,355,2010,19,Dry[3] Air Temp 28 °C (82 °F)[3] Track Temp 33 °C (91 °F) dropping to 29 °C (84 °F)[3]
355,356,1989,1,"Very hot, dry, sunny"
356,357,1989,2,"Warm, dry, sunny"
357,358,1989,3,"Warm, dry, sunny"
358,359,1989,4,"Hot, dry, partly sunny 25°C/79°F, 40% Humidity, wind NW-10mph"
359,360,1989,5,"Hot, sunny; temperature up to maximum of 38.3 °C (100.9 °F)[1]"
360,361,1989,6,Cool and rainy with temperatures approaching 24 °C (75 °F); wind speeds up to 17.9 kilometres per hour (11.1 mph)[1]
361,362,1989,7,"Hot, dry, sunny"
362,363,1989,8,"Warm, dry, sunny"
363,364,1989,9,"Warm, cloudy"
364,365,1989,10,Cloudy
365,366,1989,11,"Wet, cloudy, cool"
366,367,1989,12,"Hot, dry, sunny"
367,368,1989,13,"Hot, dry, sunny"
368,369,1989,14,"Dry, hot, sunny"
369,370,1989,15,"Dry, warm, cloudy"
370,371,1989,16,"Wet, cool"
371,372,1988,1,Cloudy and hot
372,373,1988,2,"Sunny, warm"
373,374,1988,3,Warm and dry
374,375,1988,4,Sunny and hot
375,376,1988,5,Sunny and hot with temperatures up to 29 °C (84 °F); wind speeds up to 19 kilometres per hour (12 mph)[1]
376,377,1988,6,Warm and sunny with temperatures up to 91.9 °F (33.3 °C); wind speeds up to 11.1 miles per hour (17.9 km/h)[1]
377,378,1988,7,Sunny and hot
378,379,1988,8,Wet and cool
379,380,1988,9,Wet and cool
380,381,1988,10,Sunny and hot
381,382,1988,11,"Warm, dry and overcast"
382,383,1988,12,Sunny and hot
383,384,1988,13,Sunny and hot
384,385,1988,14,Sunny and hot
385,386,1988,15,"Cool and mainly dry, some rain toward the end"
386,387,1988,16,Cloudy and hot
387,388,1987,1,Sunny
388,389,1987,2,"Sunny, warm"
389,390,1987,3,Cloudy and cool
390,391,1987,4,Sunny and warm
391,392,1987,5,Clear with rain showers later on; temperatures reaching up to 78.1 °F (25.6 °C); wind speeds up to 19.6 miles per hour (31.5 km/h)[1]
392,393,1987,6,Sunny and hot
393,394,1987,7,Sunny and warm
394,395,1987,8,not found
395,396,1987,9,Dry
396,397,1987,10,Dry
397,398,1987,11,Dry
398,399,1987,12,Dry
399,400,1987,13,Sunny and hot
400,401,1987,14,Sunny and hot
401,402,1987,15,Dry
402,403,1987,16,Sunny
403,404,1986,1,"Hot, dry and sunny"
404,405,1986,2,"Warm, dry and sunny"
405,406,1986,3,"Overcast, warm"
406,407,1986,4,"Sunny, mild, dry"
407,408,1986,5,Dry
408,409,1986,6,Dry with temperatures approaching 25 °C (77 °F); wind speeds up to 20.5 km/h (12.7 mph)[1]
409,410,1986,7,Cloudy and hot with temperatures reaching up to 91 °F (33 °C); wind speeds up to 23 miles per hour (37 km/h)[1]
410,411,1986,8,Dry
411,412,1986,9,Sunny
412,413,1986,10,Dry
413,414,1986,11,not found
414,415,1986,12,Dry
415,416,1986,13,Dry
416,417,1986,14,Dry
417,418,1986,15,Sunny and hot
418,419,1986,16,Sunny
419,420,1985,1,"Dry, 34 °C (93 °F) air temperature"
420,421,1985,2,"Overcast, Cold, Rain"
421,422,1985,3,not found
422,423,1985,4,Dry
423,424,1985,5,Sunny with temperatures approaching 20.5 °C (68.9 °F); wind speeds up to 12.9 kilometres per hour (8.0 mph)[1]
424,425,1985,6,Clear and cool with temperatures reaching up to 80.1 °F (26.7 °C); wind speeds up to 23 miles per hour (37 km/h)[1]
425,426,1985,7,"Dry, hot[2]"
426,427,1985,8,"Cool, overcast"
427,428,1985,9,Dry
428,429,1985,10,Dry
429,430,1985,11,Sunny
430,431,1985,12,Dry
431,432,1985,13,"Wet/Dry, drying up in later stages"
432,433,1985,14,not found
433,434,1985,15,Dry
434,435,1985,16,Sunny
435,436,1984,1,Dry
436,437,1984,2,Dry
437,438,1984,3,not found
438,439,1984,4,not found
439,440,1984,5,Dry
440,441,1984,6,Heavy rain and spray
441,442,1984,7,Dry with temperatures approaching 26 °C (79 °F); wind speeds up to 12.9 kilometres per hour (8.0 mph)[1]
442,443,1984,8,Sunny and warm with temperatures reaching up to 77.9 °F (25.5 °C); wind speeds up to 11.3 miles per hour (18.2 km/h)[1]
443,444,1984,9,Sunny with temperatures reaching up to 100 °F (38 °C); wind speeds approaching speeds up to 14 miles per hour (23 km/h)[1]
444,445,1984,10,not found
445,446,1984,11,Dry
446,447,1984,12,Dry
447,448,1984,13,Sunny
448,449,1984,14,Dry
449,450,1984,15,Sunny
450,451,1984,16,Dry
451,452,1983,1,Dry
452,453,1983,2,Sunny and warm with temperatures reaching up to 65.8 °F (18.8 °C); wind speeds approaching speeds up to 9.9 miles per hour (15.9 km/h)[1]
453,454,1983,3,"Dry, grey and cool[1]"
454,455,1983,4,not found
455,456,1983,5,Wet track at the start
456,457,1983,6,not found
457,458,1983,7,Sunny and warm with temperatures reaching up to 76.8 °F (24.9 °C); wind speeds up to 11.3 miles per hour (18.2 km/h)[1]
458,459,1983,8,Warm with temperatures approaching 30 °C (86 °F); wind speeds up to 15 kilometres per hour (9.3 mph)[1]
459,460,1983,9,not found
460,461,1983,10,Dry
461,462,1983,11,Dry
462,463,1983,12,Cloudy
463,464,1983,13,Dry
464,465,1983,14,Dry
465,466,1983,15,Dry
466,467,1982,1,Dry
467,468,1982,2,Dry
468,469,1982,3,Clear and warm with temperatures reaching up to 63.9 °F (17.7 °C); wind speeds approaching speeds up to 11.8 miles per hour (19.0 km/h)[1]
469,470,1982,4,not found
470,471,1982,5,Cold with air temperatures reaching up to 13 °C (55 °F)[1]
471,472,1982,6,"Dry, then Wet"
472,473,1982,7,Sunny and warm with temperatures reaching up to 72 °F (22 °C); wind speeds up to 16.1 miles per hour (25.9 km/h)[1]
473,474,1982,8,Overcast and chilly17 °C (63 °F)[1]
474,475,1982,9,Cloudy
475,476,1982,10,not found
476,477,1982,11,Dry
477,478,1982,12,Dry
478,479,1982,13,"Sunny, hot"
479,480,1982,14,Dry
480,481,1982,15,Dry
481,482,1982,16,Sunny with temperatures reaching up to 98.8 °F (37.1 °C); wind speeds approaching speeds up to 18.1 miles per hour (29.1 km/h)[1]
482,483,1981,1,Sunny and warm with temperatures reaching up to 71.1 °F (21.7 °C); wind speeds approaching 10.9 miles per hour (17.5 km/h)[1]
483,484,1981,2,"Overcast, Fresh, Rain"
484,485,1981,3,"Sunny, dry"
485,486,1981,4,"Rain, cold"
486,487,1981,5,"Dry, then wet at the end"
487,488,1981,6,Dry
488,489,1981,7,"Sunny, hot"
489,490,1981,8,"Dry, then wet at half distance, then dry again"
490,491,1981,9,Dry
491,492,1981,10,Wet / Dry
492,493,1981,11,"Mild, Dry"
493,494,1981,12,"Sunny, dry"
494,495,1981,13,Dry and sunny
495,496,1981,14,Wet and cold with temperatures up to 20 °C (68 °F); wind speeds up to 15 kilometres per hour (9.3 mph)[1]
496,497,1981,15,Sunny with temperatures reaching up to 75 °F (24 °C); wind speeds approaching speeds up to 11.1 miles per hour (17.9 km/h)[1]
497,498,1980,1,"Sunny, Very hot, Dry"
498,499,1980,2,Dry
499,500,1980,3,Dry
500,501,1980,4,Sunny and warm with temperatures reaching up to 81 °F (27 °C); wind speeds up to 10.9 miles per hour (17.5 km/h)[1]
501,502,1980,5,Dry
502,503,1980,6,"Dry at the start, damp in the end"
